ID,Name,Age,OVA,Nationality,Club,BOV,BP,Position,POT,Team & Contract,Height,Weight,foot,Growth,Joined,Loan Date End,Value,Wage,Release Clause,Contract,Gender
2,G. Pasquale,33,69,Italy,Udinese,71,LWB,LM,69,Udinese 2008 ~ 2016,"6'0""",181lbs,Left,0,"Jul 1, 2008",,€625K,€7K,€0,2008 ~ 2016,Male
16,Luis García,37,71,Spain,KAS Eupen,70,CM,CM CAM CDM,71,KAS Eupen 2014 ~ 2019,"5'10""",143lbs,Right,0,"Jul 19, 2014",,€600K,€7K,€1.1M,2014 ~ 2019,Male
27,J. Cole,33,71,England,Coventry City,71,CAM,CAM RM RW LM,71,Coventry City 2016 ~ 2020,"5'9""",161lbs,Right,0,"Jan 7, 2016",,€1.1M,€15K,€0,2016 ~ 2020,Male
36,D. Yorke,36,68,Trinidad &amp; Tobago,Sunderland,70,ST,,82,Sunderland 2009,"5'11""",165lbs,Right,14,,,€0,€0,€0,2009,Male
41,Iniesta,36,81,Spain,Vissel Kobe,82,CAM,CM CAM,81,Vissel Kobe 2018 ~ 2021,"5'7""",150lbs,Right,0,"Jul 16, 2018",,€5.5M,€12K,€7.2M,2018 ~ 2021,Male
61,D. Odonkor,27,66,Germany,Alemannia Aachen,66,RW,RW RM,70,Alemannia Aachen 2011 ~ 2012,"5'8""",163lbs,Right,4,"Jan 1, 2011",,€725K,€5K,€0,2011 ~ 2012,Male
80,E. Belözoğlu,38,77,Turkey,Fenerbahçe SK,77,CM,CM CDM,77,Fenerbahçe SK 2019 ~ 2020,"5'7""",159lbs,Left,0,"Jul 2, 2019",,€2.8M,€44K,€5.3M,2019 ~ 2020,Male
241,R. Giggs,39,78,Wales,Manchester United,78,CAM,LM CM CAM,78,Manchester United 1990 ~ 2014,"5'10""",157lbs,Left,0,"Dec 1, 1990",,€1K,€60K,€0,1990 ~ 2014,Male
244,G. Neville  B,35,76,England,Manchester United,78,CB,RB CB RWB,82,Manchester United 1991 ~ 2011,"5'10""",174lbs,Right,6,"Jan 1, 1991",,€0,€0,€0,1991 ~ 2011,Male
246,P. Scholes,37,80,England,Manchester United,82,CAM,CM CDM,80,Manchester United 1993 ~ 2013,"5'7""",157lbs,Right,0,"Jul 8, 1993",,€400K,€40K,€0,1993 ~ 2013,Male
249,P. Neville,35,74,England,Everton,75,CB,CDM CM RB,74,Everton 2005 ~ 2013,"5'11""",168lbs,Right,0,"Aug 1, 2005",,€120K,€7K,€0,2005 ~ 2013,Male
250,D. Beckham,37,78,England,,77,CM,CM RM,78,England Free,"6'0""",165lbs,Right,0,"Jan 1, 2013",,€0,€0,€0,England Free,Male
330,R. Keane,35,80,Republic of Ireland,LA Galaxy,81,CF,ST,80,LA Galaxy 2011 ~ 2022,"5'9""",161lbs,Right,0,"Aug 1, 2011",,€5.5M,€10K,€0,2011 ~ 2022,Male
388,S. Campbell,35,75,England,Newcastle United,75,CB,,79,Newcastle United 2010 ~ 2011,"6'2""",190lbs,Right,4,"Sep 2, 2010",,€0,€0,€0,2010 ~ 2011,Male
488,O. Kahn,38,87,Germany,FC Bayern München,87,GK,GK,90,FC Bayern München 2008,"6'2""",198lbs,Right,3,,,€0,€0,€0,2008,Male
496,D. Hamann,36,61,Germany,Milton Keynes Dons,67,CB,,82,Milton Keynes Dons 2010 ~ 2011,"6'2""",168lbs,Right,21,"Sep 2, 2010",,€0,€0,€0,2010 ~ 2011,Male
570,A. Okocha,33,73,Nigeria,Hull City,76,CF,,90,Hull City 2009,"5'8""",154lbs,Right,17,,,€0,€0,€0,2009,Male
670,Zulu,26,66,Brazil,Pohang Steelers,66,ST,,72,Pohang Steelers 2005 ~ 2013,"6'4""",198lbs,Right,6,"Jan 1, 2005",,€0,€0,€0,2005 ~ 2013,Male
684,M. Schwarzer,42,73,Australia,Leicester City,73,GK,,73,Leicester City 2015 ~ 2016,"6'4""",209lbs,Right,0,"Jan 6, 2015",,€500K,€15K,€0,2015 ~ 2016,Male
805,J. Lehmann,39,79,Germany,VfB Stuttgart,81,GK,,87,VfB Stuttgart 2010,"6'3""",192lbs,Right,8,,,€0,€0,€0,2010,Male
1001,G. Király,39,69,Hungary,Hungary,69,GK,,69,Hungary Free,"6'4""",201lbs,Right,0,"Jul 1, 2015",,€0,€0,€0,Free,Male
1040,Roberto Carlos,38,79,Brazil,FC Anzhi Makhachkala,79,CDM,CDM LB LM,79,FC Anzhi Makhachkala 2011 ~ 2013,"5'6""",154lbs,Left,0,"Jan 1, 2011",,€0,€30K,€0,2011 ~ 2013,Male
1041,J. Zanetti,39,75,Argentina,Inter,75,CDM,RM RB CM,75,Inter 1995 ~ 2014,"5'10""",165lbs,Right,0,"Jul 1, 1995",,€1K,€45K,€0,1995 ~ 2014,Male
1075,A. Del Piero,38,70,Italy,Sydney FC,74,CAM,ST CAM,70,Sydney FC 2012 ~ 2014,"5'9""",163lbs,Right,0,"Sep 1, 2012",,€190K,€30K,€0,2012 ~ 2014,Male
1088,A. Nesta,37,73,Italy,Montreal Impact,72,CB,CB,73,Montreal Impact 2012 ~ 2013,"6'2""",174lbs,Right,0,"Jul 1, 2012",,€0,€6K,€0,2012 ~ 2013,Male
